 Counter,Name,Pattern, TYPE_ACC0_MEAN, TYPE_ACC1_MEAN, TYPE_ACC2_MEAN, TYPE_MAG0_MEAN, TYPE_MAG1_MEAN, TYPE_MAG2_MEAN, TYPE_GYRO0_MEAN, TYPE_GYRO1_MEAN, TYPE_GYRO2_MEAN, TYPE_ROTATION0_MEAN, TYPE_ROTATION1_MEAN, TYPE_ROTATION2_MEAN, TYPE_LINEAR0_MEAN, TYPE_LINEAR1_MEAN, TYPE_LINEAR2_MEAN, TYPE_GRAVITY0_MEAN, TYPE_GRAVITY1_MEAN, TYPE_GRAVITY2_MEAN, position_x_MEAN, position_y_MEAN, velocity_x_MEAN, velocity_y_MEAN, pressure_MEAN, size_MEAN, TYPE_ACC0_SD, TYPE_ACC1_SD, TYPE_ACC2_SD, TYPE_MAG0_SD, TYPE_MAG1_SD, TYPE_MAG2_SD, TYPE_GYRO0_SD, TYPE_GYRO1_SD, TYPE_GYRO2_SD, TYPE_ROTATION0_SD, TYPE_ROTATION1_SD, TYPE_ROTATION2_SD, TYPE_LINEAR0_SD, TYPE_LINEAR1_SD, TYPE_LINEAR2_SD, TYPE_GRAVITY0_SD, TYPE_GRAVITY1_SD, TYPE_GRAVITY2_SD, position_x_SD, position_y_SD, velocity_x_SD, velocity_y_SD, pressure_SD, size_SD
29,James,D,0.16998291,5.5537389167,8.1929526167,0.16998291,5.5537389167,8.1929526167,0.16998291,5.5537389167,8.1929526167,0.1700337733,2.9140447133,4.31130221,0.1700337733,2.9140447133,4.31130221,0.1700337733,2.9140447133,4.31130221,497.78674,623.3657333333,-372.4432896667,557.00095,0.6375000133,0.0156862752,0.187699059,0.2874367529,0.1984010511,0.187699059,0.2874367529,0.1984010511,0.187699059,0.2874367529,0.1984010511,0.1873380487,3.041188027,4.2330158572,0.1873380487,3.041188027,4.2330158572,0.1873380487,3.041188027,4.2330158572,225.269911985,366.0622894757,1108.6819187427,2594.1750514339,0.1693738362,0.0024802177
30,James,D,0.06224823,5.7261225833,8.3469775,0.06224823,5.7261225833,8.3469775,0.06224823,5.7261225833,8.3469775,0.09063975,4.81981917,7.0788805217,0.09063975,4.81981917,7.0788805217,0.09063975,4.81981917,7.0788805217,511.45936,608.403125,-412.5959633333,742.90945,0.5229166733,0.0111111117,0.1180995458,0.1175819208,0.4798806535,0.1180995458,0.1175819208,0.4798806535,0.1180995458,0.1175819208,0.4798806535,0.1451472936,2.2941863516,3.2773408242,0.1451472936,2.2941863516,3.2773408242,0.1451472936,2.2941863516,3.2773408242,238.8356450323,392.486149182,918.2682796046,2236.9164255472,0.1714673196,0.0052123927
31,James,D,0.1380589802,5.5385818167,8.3429845,3.3726145835,3.10313405,0.9919128333,3.3726145835,3.10313405,0.9919128333,3.4162242033,2.1827543867,-0.36560054,3.3945236622,0.300140235,-3.0377756738,3.3945236622,0.300140235,-3.0377756738,472.1381416667,644.9130166667,-405.2616833333,225.8273166667,0.55625,0.0143790855,0.1071737797,0.1228163821,0.2670976066,7.8935793898,5.9871585324,17.8560313458,7.8935793898,5.9871585324,17.8560313458,7.8719449943,5.9388927912,17.4673309043,7.8829314774,5.3269931028,16.3824981109,7.8829314774,5.3269931028,16.3824981109,211.7648903544,334.4172621959,961.2537728149,2589.4088329667,0.1684024198,0.0053578829
32,James,D,0.0375086465,5.8226903,7.65106465,0.0375086465,5.8226903,7.65106465,0.032819112,3.8642298272,4.9251404015,0.032819112,3.8642298272,4.9251404015,0.0188776652,2.9226124892,3.5893020848,0.0188776652,2.9226124892,3.5893020848,521.642355,618.7242083333,-539.019806305,817.3256833333,0.6145833333,0.01633987,0.0465578038,0.2246592537,0.8946633376,0.0465578038,0.2246592537,0.8946633376,0.0480078016,3.0163229724,3.8783931365,0.0480078016,3.0163229724,3.8783931365,0.0297387972,3.2371497558,4.0468981253,0.0297387972,3.2371497558,4.0468981253,251.4099115501,357.752789051,1128.2410661581,2364.3198494194,0.0051031036,0.0029520496
33,James,D,0.1580098468,5.6981938333,8.1865640833,16.33820853,-6.4875945167,-27.6294048333,16.33820853,-6.4875945167,-27.6294048333,10.1088028633,-2.99596649,-15.60579955,10.1088028633,-2.99596649,-15.60579955,10.1088028633,-2.99596649,-15.60579955,484.123605,673.3780383333,-275.484295,776.0040833333,0.5750000067,0.0137254908,0.2231546685,0.1463077282,0.3732108944,7.8993763158,6.0640238259,17.7114718991,7.8993763158,6.0640238259,17.7114718991,10.7844655127,5.8142627173,20.7381781455,10.7844655127,5.8142627173,20.7381781455,10.7844655127,5.8142627173,20.7381781455,217.9966492953,335.7495672664,699.6554375163,2866.183843811,0.1481131223,0.004802921
34,James,D,0.0981547035,5.7069703,8.2615841167,0.0981547035,5.7069703,8.2615841167,0.0981547035,5.7069703,8.2615841167,0.1788558933,2.897878085,4.3327688833,0.1788558933,2.897878085,4.3327688833,0.1788558933,2.897878085,4.3327688833,549.1562266667,637.9449833333,-444.36447,381.2082833333,0.5416666667,0.0143790857,0.0872344901,,,,,,,,,,,,,,,,,,,,,,,
35,James,D,0.1604054767,5.6343510667,8.284729,10.3233870567,-1.163185,-13.5272705833,10.3233870567,-1.163185,-13.5272705833,10.32062013,-2.06566605,-14.8362992333,0.1076812752,1.849230454,3.00965123,0.1076812752,1.849230454,3.00965123,535.877105,621.5930666667,-460.1010716667,483.4323833333,0.5625,0.0169934652,0.1317161886,,,,,,,,,,,,,,,,,,,,,,,
36,James,D,0.3008651733,5.7452774,8.1897583333,3.6404698,3.29997765,0.93987,3.6404698,3.29997765,0.93987,3.6404698,3.29997765,0.93987,3.6048049233,1.3752950233,-1.7020315767,3.6048049233,1.3752950233,-1.7020315767,543.74335,616.1274933333,-383.963425,299.9684166667,0.5500000033,0.0156862753,0.1303088545,,,,,,,,,,,,,,,,,,,,,,,
37,James,D,0.1683858235,5.7269236333,7.9511362,0.1683858235,5.7269236333,7.9511362,0.1683858235,5.7269236333,7.9511362,0.1683858235,5.7269236333,7.9511362,0.1529744468,4.7778498367,6.62058255,0.1529744468,4.7778498367,6.62058255,523.1450333333,639.055675,-395.31389,605.0256333333,0.56875,0.01633987,0.0918288902,,,,,,,,,,,,,,,,,,,,,,,
38,James,D,0.16838328,5.7771987333,8.4267859167,0.16838328,5.7771987333,8.4267859167,0.16838328,5.7771987333,8.4267859167,0.16838328,5.7771987333,8.4267859167,0.16838328,5.7771987333,8.4267859167,0.16838328,5.7771987333,8.4267859167,543.0327566667,603.95984,-453.2111,485.1037833333,0.5395833333,0.0189542495,0.0745147078,,,,,,,,,,,,,,,,,,,,,,,
