TimeStamp, TYPE_ACC0, TYPE_ACC1, TYPE_ACC2, TYPE_MAG0, TYPE_MAG1, TYPE_MAG2, TYPE_GYRO0, TYPE_GYRO1, TYPE_GYRO2, TYPE_ROTATION0, TYPE_ROTATION1, TYPE_ROTATION2, TYPE_LINEAR0, TYPE_LINEAR1, TYPE_LINEAR2, TYPE_GRAVITY0, TYPE_GRAVITY1, TYPE_GRAVITY2, position_x, position_y, velocity_x, velocity_y, pressure, size, mCurrentPattern, Counter,Name,Pattern, TYPE_ACC0_MEAN, TYPE_ACC1_MEAN, TYPE_ACC2_MEAN, TYPE_MAG0_MEAN, TYPE_MAG1_MEAN, TYPE_MAG2_MEAN, TYPE_GYRO0_MEAN, TYPE_GYRO1_MEAN, TYPE_GYRO2_MEAN, TYPE_ROTATION0_MEAN, TYPE_ROTATION1_MEAN, TYPE_ROTATION2_MEAN, TYPE_LINEAR0_MEAN, TYPE_LINEAR1_MEAN, TYPE_LINEAR2_MEAN, TYPE_GRAVITY0_MEAN, TYPE_GRAVITY1_MEAN, TYPE_GRAVITY2_MEAN, position_x_MEAN, position_y_MEAN, velocity_x_MEAN, velocity_y_MEAN, pressure_MEAN, size_MEAN, TYPE_ACC0_SD, TYPE_ACC1_SD, TYPE_ACC2_SD, TYPE_MAG0_SD, TYPE_MAG1_SD, TYPE_MAG2_SD, TYPE_GYRO0_SD, TYPE_GYRO1_SD, TYPE_GYRO2_SD, TYPE_ROTATION0_SD, TYPE_ROTATION1_SD, TYPE_ROTATION2_SD, TYPE_LINEAR0_SD, TYPE_LINEAR1_SD, TYPE_LINEAR2_SD, TYPE_GRAVITY0_SD, TYPE_GRAVITY1_SD, TYPE_GRAVITY2_SD, position_x_SD, position_y_SD, velocity_x_SD, velocity_y_SD, pressure_SD, size_SD
19987664,0.45968628,5.3007507,8.3797,0.45968628,5.3007507,8.3797,0.45968628,5.3007507,8.3797,0.45968628,5.3007507,8.3797,0.45968628,5.3007507,8.3797,0.45968628,5.3007507,8.3797,739,252,0,0,0.6625,0.015686275,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",7,James,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19987786,0.19152832,5.3821564,8.719681,0.19152832,5.3821564,8.719681,0.19152832,5.3821564,8.719681,0.19152832,5.3821564,8.719681,-0.12104797,0.15292358,0.42959595,-0.12104797,0.15292358,0.42959595,766.0993,584.11365,-187.67561,3983.482,0.6625,0.019607844,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",7,James,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19988020,0.46925354,5.128372,8.609543,0.46925354,5.128372,8.609543,0.46925354,5.128372,8.609543,0.46925354,5.128372,8.609543,0.12388611,-0.116104126,0.33039856,0.12388611,-0.116104126,0.33039856,353.03506,1129.9299,-2742.2764,6309.4175,0.6625,0.019607844,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",7,James,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19988204,0.40701294,5.2720184,8.494614,0.40701294,5.2720184,8.494614,0.40701294,5.2720184,8.494614,0.40701294,5.2720184,8.494614,0.049072266,0.08528137,0.17970276,0.049072266,0.08528137,0.17970276,207.61893,844.29297,897.2852,-3717.7043,0.6625,0.023529414,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",7,James,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19988288,0.47883606,4.8841705,8.75798,16.874695,-5.809021,-38.6261,16.874695,-5.809021,-38.6261,0.26068115,0.100753784,0.4050293,0.26068115,0.100753784,0.4050293,0.26068115,0.100753784,0.4050293,269,722,0,0,0.38750002,0.011764707,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",8,James,D,0.3918457033,5.2233428667,8.5033975,5.9805577533,1.1509322833,-7.3571958333,5.9805577533,1.1509322833,-7.3571958333,3.1302566183,0.4014332773,-3.5518671833,3.0831959697,-0.477462806,-4.929056885,3.0831959697,-0.477462806,-4.929056885,534.19089,622.357735,-370.6436434383,494.9775166667,0.56666667,0.0156862758,0.1877743418,0.2203578311,0.1471656486,8.5747481215,6.5305427215,24.4806652075,8.5747481215,6.5305427215,24.4806652075,6.9047712744,5.1031297597,17.9413680855,6.9294114754,4.4527705842,17.1328641259,6.9294114754,4.4527705842,17.1328641259,264.9454629296,342.3624279965,1118.9524398279,2612.4241287694,0.1871941912,0.0074406539
19988477,0.50756836,5.305542,8.504196,0.50756836,5.305542,8.504196,0.50756836,5.305542,8.504196,0.26367188,0.10215759,0.4046173,0.26367188,0.10215759,0.4046173,0.26367188,0.10215759,0.4046173,776,237,0,0,0.4,0.007843138,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",8,James,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19988477,0.50756836,5.305542,8.504196,0.50756836,5.305542,8.504196,0.50756836,5.305542,8.504196,0.26367188,0.10215759,0.4046173,0.26367188,0.10215759,0.4046173,0.26367188,0.10215759,0.4046173,776,237,0,0,0.4,0.007843138,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",8,James,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19988587,0.22984314,5.5449677,8.470673,0.22984314,5.5449677,8.470673,0.22984314,5.5449677,8.470673,0.22984314,5.5449677,8.470673,-0.052520752,0.2715912,0.20753479,-0.052520752,0.2715912,0.20753479,771,573.16437,0.17118937,4213.066,0.7375,0.019607844,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",8,James,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19988838,0.54107666,5.152313,8.298294,0.54107666,5.152313,8.298294,0.54107666,5.152313,8.298294,0.54107666,5.152313,8.298294,0.54107666,5.152313,8.298294,0.54107666,5.152313,8.298294,351.3629,1075.546,-2630.465,2299.9673,0.7375,0.023529414,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",8,James,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19988988,0.08618164,5.147522,8.485046,17.222595,-8.59375,-39.294434,17.222595,-8.59375,-39.294434,17.222595,-8.59375,-39.294434,17.222595,-8.59375,-39.294434,17.222595,-8.59375,-39.294434,261.78244,889.43604,406.43195,-3543.1682,0.7375,0.023529414,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",8,James,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19989085,0.5506592,5.367798,8.719681,0.5506592,5.367798,8.719681,0.5506592,5.367798,8.719681,0.5506592,5.367798,8.719681,0.5506592,5.367798,8.719681,0.5506592,5.367798,8.719681,280.49097,725.8269,0,0,0.275,0.003921569,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",9,James,D,0.4038162267,5.3135249667,8.4196013333,3.1298142133,3.6403733,0.4227955,0.341921492,4.4529317883,7.001261234,0.2785415687,2.719279035,4.413767454,0.2785415687,2.719279035,4.413767454,0.2785415687,2.719279035,4.413767454,515.08903,609.157,-557.1937083095,1003.9406333333,0.5458333333,0.0156862752,0.1231539272,0.1190261996,0.2149727894,6.6494487556,4.2035288754,19.5407390519,0.2166234507,2.2135162099,3.4321283828,0.1984488501,2.926681807,4.538295431,0.1984488501,2.926681807,4.538295431,0.1984488501,2.926681807,4.538295431,235.2605179835,358.2728789675,1166.350876002,3011.4734611118,0.1326806944,0.0060752682
19989240,0.45489502,5.305542,8.169006,0.45489502,5.305542,8.169006,0.45489502,5.305542,8.169006,0.26475525,0.10458374,0.40652466,0.26475525,0.10458374,0.40652466,0.26475525,0.10458374,0.40652466,742,194,0,0,0.6,0.015686275,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",9,James,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19989240,0.45489502,5.305542,8.169006,0.45489502,5.305542,8.169006,0.45489502,5.305542,8.169006,0.26475525,0.10458374,0.40652466,0.26475525,0.10458374,0.40652466,0.26475525,0.10458374,0.40652466,742,194,0,0,0.6,0.015686275,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",9,James,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19989372,0.19152832,5.4587708,8.456314,0.19152832,5.4587708,8.456314,0.19152832,5.4587708,8.456314,0.19152832,5.4587708,8.456314,0.19152832,5.4587708,8.456314,0.19152832,5.4587708,8.456314,693.22955,612.76196,-431.35687,5487.4785,0.6,0.019607844,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",9,James,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19989556,0.42616272,5.343857,8.485046,0.42616272,5.343857,8.485046,0.42616272,5.343857,8.485046,0.42616272,5.343857,8.485046,0.42616272,5.343857,8.485046,0.42616272,5.343857,8.485046,379.81366,1089.4442,-2911.8022,3518.9353,0.6,0.019607844,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",9,James,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19989723,0.34475708,5.09964,8.518555,16.700745,-4.93927,-39.46228,-0.026611328,-0.06391907,0.008514404,-0.026611328,-0.06391907,0.008514404,-0.026611328,-0.06391907,0.008514404,-0.026611328,-0.06391907,0.008514404,253,838.90894,-0.003179857,-2982.77,0.6,0.019607844,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",9,James,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19989826,0.6368561,4.893738,9.2799225,0.6368561,4.893738,9.2799225,0.6368561,4.893738,9.2799225,0.25912476,0.102249146,0.40679932,0.25912476,0.102249146,0.40679932,0.25912476,0.102249146,0.40679932,254,711,0,0,0.25,0.003921569,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",10,James,D,0.3671061233,5.2792079167,8.3860803333,3.1332677533,3.4448598667,0.4943208333,3.1332677533,3.4448598667,0.4943208333,3.07031253,2.646278391,-0.98453303,0.1970138557,2.7299423255,4.1488061392,0.1970138557,2.7299423255,4.1488061392,520.464765,626.2429333333,-528.797375,957.4747833333,0.5541666733,0.014379086,0.1366739938,0.2222122911,0.5211484905,6.733141904,4.3667361561,19.1713816489,6.733141904,4.3667361561,19.1713816489,6.7628521519,4.4852943633,18.6944279533,0.17037123,2.8757821315,4.2266638678,0.17037123,2.8757821315,4.2266638678,249.36912801,377.7010430039,1061.5491133446,3159.9248444116,0.2008834612,0.0068674125
19989967,0.29208374,5.3630066,8.010986,0.29208374,5.3630066,8.010986,0.29208374,5.3630066,8.010986,0.29208374,5.3630066,8.010986,0.29208374,5.3630066,8.010986,0.29208374,5.3630066,8.010986,752,207,0,0,0.45000002,0.011764707,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",10,James,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19989967,0.29208374,5.3630066,8.010986,0.29208374,5.3630066,8.010986,0.29208374,5.3630066,8.010986,0.29208374,5.3630066,8.010986,0.29208374,5.3630066,8.010986,0.29208374,5.3630066,8.010986,752,207,0,0,0.45000002,0.011764707,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",10,James,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19990090,0.27772522,5.5449677,8.724457,16.874695,-5.4611206,-38.6261,16.874695,-5.4611206,-38.6261,16.874695,-5.4611206,-38.6261,-0.008666992,0.27278137,0.4605713,-0.008666992,0.27278137,0.4605713,728.73816,584.6615,-705.2312,6490.4956,0.725,0.015686275,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",10,James,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19990323,0.37348938,5.3342743,7.9918365,0.37348938,5.3342743,7.9918365,0.37348938,5.3342743,7.9918365,0.37348938,5.3342743,7.9918365,0.37348938,5.3342743,7.9918365,0.37348938,5.3342743,7.9918365,378.7,1159.1555,-2606.8083,2178.8079,0.725,0.023529414,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",10,James,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19990490,0.33039856,5.1762543,8.298294,0.33039856,5.1762543,8.298294,0.33039856,5.1762543,8.298294,0.33039856,5.1762543,8.298294,-0.026031494,-0.055664063,0.011657715,-0.026031494,-0.055664063,0.011657715,257.35043,888.6406,139.25525,-2924.4548,0.725,0.019607844,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",10,James,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19990597,0.45968628,4.716568,8.906418,0.45968628,4.716568,8.906418,0.45968628,4.716568,8.906418,0.26065063,0.102767944,0.41052246,0.26065063,0.102767944,0.41052246,0.26065063,0.102767944,0.41052246,266,730.5,0,0,0.4,0.007843138,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",11,James,D,0.3655064933,5.1658808167,8.541705,2.9901631633,3.2578633333,0.6866556667,2.9901631633,3.2578633333,0.6866556667,0.303105675,3.532404554,5.7782416633,0.303105675,3.532404554,5.7782416633,0.303105675,3.532404554,5.7782416633,546.7831966667,593.9527833333,-424.5605116667,413.1702166667,0.5979166667,0.0169934648,0.1785681992,0.2336122136,0.1994484803,6.4635197572,4.6177881785,19.260262303,6.4635197572,4.6177881785,19.260262303,0.1708766682,2.6571524738,4.1553219767,0.1708766682,2.6571524738,4.1553219767,0.1708766682,2.6571524738,4.1553219767,272.7888830143,410.7010603973,1125.8723862231,2261.3803067798,0.096958969,0.0064038951
19990782,0.18673706,5.3007507,8.470673,0.18673706,5.3007507,8.470673,0.18673706,5.3007507,8.470673,0.18673706,5.3007507,8.470673,0.18673706,5.3007507,8.470673,0.18673706,5.3007507,8.470673,804,122,0,0,0.6375,0.015686275,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",11,James,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19990782,0.18673706,5.3007507,8.470673,0.18673706,5.3007507,8.470673,0.18673706,5.3007507,8.470673,0.18673706,5.3007507,8.470673,0.18673706,5.3007507,8.470673,0.18673706,5.3007507,8.470673,804,122,0,0,0.6375,0.015686275,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",11,James,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19990908,0.6416321,5.09964,8.585602,0.6416321,5.09964,8.585602,0.6416321,5.09964,8.585602,0.6416321,5.09964,8.585602,0.6416321,5.09964,8.585602,0.6416321,5.09964,8.585602,771.5183,586.7434,-114.32539,3564.1382,0.6375,0.015686275,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",11,James,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19991175,0.28729248,5.286392,8.312668,0.28729248,5.286392,8.312668,0.28729248,5.286392,8.312668,0.28729248,5.286392,8.312668,0.28729248,5.286392,8.312668,0.28729248,5.286392,8.312668,369.28278,1155.2505,-2707.5833,2036.3601,0.6375,0.027450982,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",11,James,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19991342,0.43095398,5.2911835,8.504196,16.178894,-6.1569214,-38.6261,16.178894,-6.1569214,-38.6261,0.25558472,0.10412598,0.41931152,0.25558472,0.10412598,0.41931152,0.25558472,0.10412598,0.41931152,265.8981,847.2228,274.54562,-3121.477,0.6375,0.019607844,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",11,James,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
