TimeStamp, TYPE_ACC0, TYPE_ACC1, TYPE_ACC2, TYPE_MAG0, TYPE_MAG1, TYPE_MAG2, TYPE_GYRO0, TYPE_GYRO1, TYPE_GYRO2, TYPE_ROTATION0, TYPE_ROTATION1, TYPE_ROTATION2, TYPE_LINEAR0, TYPE_LINEAR1, TYPE_LINEAR2, TYPE_GRAVITY0, TYPE_GRAVITY1, TYPE_GRAVITY2, position_x, position_y, velocity_x, velocity_y, pressure, size, mCurrentPattern, Counter,Name
17734413,-3.0023193,7.110779,5.664673,-3.0023193,7.110779,5.664673,0.2194519,0.102249146,-0.10333252,0.2194519,0.102249146,-0.10333252,0.2194519,0.102249146,-0.10333252,0.2194519,0.102249146,-0.10333252,193,695,0,0,1.0500001,0.03137255,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",7,Matt
17734413,-3.0023193,7.110779,5.664673,-3.0023193,7.110779,5.664673,0.2194519,0.102249146,-0.10333252,0.2194519,0.102249146,-0.10333252,0.2194519,0.102249146,-0.10333252,0.2194519,0.102249146,-0.10333252,193,695,0,0,1.0500001,0.03137255,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",7,Matt
17734647,-1.7142334,7.0628815,6.330261,-1.7142334,7.0628815,6.330261,-1.7142334,7.0628815,6.330261,-1.7142334,7.0628815,6.330261,-1.7142334,7.0628815,6.330261,-1.7142334,7.0628815,6.330261,569.4151,1231.6008,1685.827,1815.6204,0.77500004,0.019607844,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",7,Matt
17734897,-2.8538818,7.3980713,5.8993073,-2.8538818,7.3980713,5.8993073,-2.8538818,7.3980713,5.8993073,-2.8538818,7.3980713,5.8993073,-2.8538818,7.3980713,5.8993073,-2.8538818,7.3980713,5.8993073,1080.3881,818.91797,2104.669,-3012.2722,0.77500004,0.015686275,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",7,Matt
17735181,-3.3279266,7.249634,5.2959595,-3.3279266,7.249634,5.2959595,-3.3279266,7.249634,5.2959595,-3.3279266,7.249634,5.2959595,-3.3279266,7.249634,5.2959595,-3.3279266,7.249634,5.2959595,806.4541,356.48822,-1954.052,-1890.0444,1.0375,0.03137255,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",7,Matt
17735374,-4.405319,7.4651184,5.9519806,-4.405319,7.4651184,5.9519806,-4.405319,7.4651184,5.9519806,-4.405319,7.4651184,5.9519806,-4.405319,7.4651184,5.9519806,-4.405319,7.4651184,5.9519806,668.5,258.5,0,0,0.75,0.015686275,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",8,Matt
17735590,-2.834732,6.9767,5.7939606,3.9962769,-16.946411,3.1219482,3.9962769,-16.946411,3.1219482,3.9962769,-16.946411,3.1219482,3.9962769,-16.946411,3.1219482,3.9962769,-16.946411,3.1219482,194,717,0,0,1.1875,0.03529412,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",8,Matt
17735590,-2.834732,6.9767,5.7939606,3.9962769,-16.946411,3.1219482,3.9962769,-16.946411,3.1219482,3.9962769,-16.946411,3.1219482,3.9962769,-16.946411,3.1219482,3.9962769,-16.946411,3.1219482,194,717,0,0,1.1875,0.03529412,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",8,Matt
17735815,-1.0534363,6.603195,7.2448425,-1.0534363,6.603195,7.2448425,-1.0534363,6.603195,7.2448425,-1.0534363,6.603195,7.2448425,-1.0534363,6.603195,7.2448425,-1.0534363,6.603195,7.2448425,577.61444,1235.5376,1864.0497,1536.9672,0.925,0.027450982,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",8,Matt
17736048,-2.1643524,6.6750336,7.010208,-2.1643524,6.6750336,7.010208,-2.1643524,6.6750336,7.010208,-2.1643524,6.6750336,7.010208,-2.1643524,6.6750336,7.010208,-2.1643524,6.6750336,7.010208,1100.5181,800.89795,1638.9801,-1871.27,0.925,0.015686275,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",8,Matt
17736315,-3.1699219,7.0628815,4.5441895,-3.1699219,7.0628815,4.5441895,-3.1699219,7.0628815,4.5441895,0.24057007,-0.40194702,-0.8811035,0.24057007,-0.40194702,-0.8811035,0.24057007,-0.40194702,-0.8811035,860.9565,335.97095,-2333.9617,-1424.4344,0.925,0.03137255,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",8,Matt
17736528,-5.008667,8.1019745,3.9600067,-5.008667,8.1019745,3.9600067,-5.008667,8.1019745,3.9600067,-5.008667,8.1019745,3.9600067,-5.008667,8.1019745,3.9600067,-5.008667,8.1019745,3.9600067,685,245.41174,0,0,0.32500002,0.003921569,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",9,Matt
17736720,-3.9408417,7.589615,4.8841705,-3.9408417,7.589615,4.8841705,-3.9408417,7.589615,4.8841705,-3.9408417,7.589615,4.8841705,-3.9408417,7.589615,4.8841705,-3.9408417,7.589615,4.8841705,193,748,0,0,0.9125,0.027450982,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",9,Matt
17736720,-3.9408417,7.589615,4.8841705,-3.9408417,7.589615,4.8841705,-3.9408417,7.589615,4.8841705,-3.9408417,7.589615,4.8841705,-3.9408417,7.589615,4.8841705,-3.9408417,7.589615,4.8841705,193,748,0,0,0.9125,0.027450982,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",9,Matt
17736933,-2.063797,6.751648,6.0908356,-2.063797,6.751648,6.0908356,-2.063797,6.751648,6.0908356,-2.063797,6.751648,6.0908356,0.71450806,-0.36315918,-0.059692383,0.71450806,-0.36315918,-0.059692383,549.764,1188.3258,2583.0688,2556.7432,0.6625,0.015686275,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",9,Matt
17737183,-2.7724762,7.345398,5.8609924,-2.7724762,7.345398,5.8609924,-2.7724762,7.345398,5.8609924,-2.7724762,7.345398,5.8609924,-2.7724762,7.345398,5.8609924,-2.7724762,7.345398,5.8609924,1132.8344,817.0354,1822.2448,-3386.1396,0.6625,0.015686275,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",9,Matt
17737467,-3.4667969,7.8816986,5.23851,-3.4667969,7.8816986,5.23851,-3.4667969,7.8816986,5.23851,-3.4667969,7.8816986,5.23851,-3.4667969,7.8816986,5.23851,-3.4667969,7.8816986,5.23851,815.62,336.8225,-1754.1241,-2062.222,0.975,0.03137255,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",9,Matt
17737673,-4.405319,7.613556,5.9711304,-4.405319,7.613556,5.9711304,-4.405319,7.613556,5.9711304,-4.405319,7.613556,5.9711304,-4.405319,7.613556,5.9711304,-4.405319,7.613556,5.9711304,718.5,219,0,0,0.32500002,0.007843138,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",10,Matt
17737889,-3.2561035,7.187393,2.5713654,-3.2561035,7.187393,2.5713654,-3.2561035,7.187393,2.5713654,-3.2561035,7.187393,2.5713654,-3.2561035,7.187393,2.5713654,-3.2561035,7.187393,2.5713654,199,739,0,0,1.1625,0.03529412,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",10,Matt
17737889,-3.2561035,7.187393,2.5713654,-3.2561035,7.187393,2.5713654,-3.2561035,7.187393,2.5713654,-3.2561035,7.187393,2.5713654,-3.2561035,7.187393,2.5713654,-3.2561035,7.187393,2.5713654,199,739,0,0,1.1625,0.03529412,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",10,Matt
17738084,-1.5610046,7.115555,6.8090973,-1.5610046,7.115555,6.8090973,-1.5610046,7.115555,6.8090973,-1.5610046,7.115555,6.8090973,-1.5610046,7.115555,6.8090973,-1.5610046,7.115555,6.8090973,558.911,1221.7578,2504.6653,2372.712,0.6125,0.019607844,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",10,Matt
17738351,-2.5474243,7.6039734,5.5018616,-2.5474243,7.6039734,5.5018616,-2.5474243,7.6039734,5.5018616,-2.5474243,7.6039734,5.5018616,-2.5474243,7.6039734,5.5018616,-2.5474243,7.6039734,5.5018616,1048.0199,769.4614,2007.992,-3924.3708,0.6125,0.015686275,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",10,Matt
17738618,-3.9169006,7.862549,4.194641,-3.9169006,7.862549,4.194641,-3.9169006,7.862549,4.194641,-3.9169006,7.862549,4.194641,-3.9169006,7.862549,4.194641,-3.9169006,7.862549,4.194641,817.5571,346.6737,-2549.8752,-1762.8092,0.875,0.03137255,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",10,Matt
17738835,-3.8355103,7.4938507,5.7269287,-3.8355103,7.4938507,5.7269287,-3.8355103,7.4938507,5.7269287,-3.8355103,7.4938507,5.7269287,-0.28385925,0.057754517,0.41090393,-0.28385925,0.057754517,0.41090393,661,248,0,0,0.5375,0.015686275,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",11,Matt
17739018,-2.7820587,7.273575,5.511444,-2.7820587,7.273575,5.511444,-2.7820587,7.273575,5.511444,-2.7820587,7.273575,5.511444,-2.7820587,7.273575,5.511444,-2.7820587,7.273575,5.511444,197,776,0,0,0.9375,0.027450982,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",11,Matt
17739018,-2.7820587,7.273575,5.511444,-2.7820587,7.273575,5.511444,-2.7820587,7.273575,5.511444,-2.7820587,7.273575,5.511444,-2.7820587,7.273575,5.511444,-2.7820587,7.273575,5.511444,197,776,0,0,0.9375,0.027450982,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",11,Matt
17739236,-1.953659,7.13472,6.4739075,-1.953659,7.13472,6.4739075,-1.953659,7.13472,6.4739075,-1.953659,7.13472,6.4739075,0.6262207,-0.033065796,0.29837036,0.6262207,-0.033065796,0.29837036,579.145,1198.2213,1756.4365,1955.9929,0.675,0.015686275,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",11,Matt
