TimeStamp, TYPE_ACC0, TYPE_ACC1, TYPE_ACC2, TYPE_MAG0, TYPE_MAG1, TYPE_MAG2, TYPE_GYRO0, TYPE_GYRO1, TYPE_GYRO2, TYPE_ROTATION0, TYPE_ROTATION1, TYPE_ROTATION2, TYPE_LINEAR0, TYPE_LINEAR1, TYPE_LINEAR2, TYPE_GRAVITY0, TYPE_GRAVITY1, TYPE_GRAVITY2, position_x, position_y, velocity_x, velocity_y, pressure, size, mCurrentPattern, Counter,,,,,,,
19985550,0.54107666,5.1427307,8.892059,0.54107666,5.1427307,8.892059,0.54107666,5.1427307,8.892059,0.54107666,5.1427307,8.892059,0.54107666,5.1427307,8.892059,0.54107666,5.1427307,8.892059,743.26355,611.8751,253.6678,4668.5693,0.77500004,0.015686275," ""[Point(1", 0), Point(1, 1), Point(0, 2), Point(0," 1)]""",4
19985750,0.39743042,5.1810455,8.370117,0.39743042,5.1810455,8.370117,0.39743042,5.1810455,8.370117,0.39743042,5.1810455,8.370117,0.39743042,5.1810455,8.370117,0.39743042,5.1810455,8.370117,353.9062,1102.1802,-2163.201,2819.768,0.77500004,0.015686275," ""[Point(1", 0), Point(1, 1), Point(0, 2), Point(0," 1)]""",4
19985900,0.3591156,5.219345,8.327026,0.3591156,5.219345,8.327026,0.3591156,5.219345,8.327026,0.3591156,5.219345,8.327026,-0.042938232,0.068222046,-0.007919312,-0.042938232,0.068222046,-0.007919312,272.85416,866.063,260.3606,-5271.225,0.77500004,0.023529414," ""[Point(1", 0), Point(1, 1), Point(0, 2), Point(0," 1)]""",4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19985983,0.48362732,4.9081116,8.762772,0.48362732,4.9081116,8.762772,0.48362732,4.9081116,8.762772,0.2584839,0.09416199,0.39808655,0.2584839,0.09416199,0.39808655,0.2584839,0.09416199,0.39808655,283,724,0,0,0.77500004,0.011764707," ""[Point(1", 0), Point(1, 1), Point(0, 2), Point(0," 1)]""",5
19986156,0.27293396,5.2768097,8.53772,0.27293396,5.2768097,8.53772,0.27293396,5.2768097,8.53772,0.27293396,5.2768097,8.53772,0.27293396,5.2768097,8.53772,0.27293396,5.2768097,8.53772,734,179,0,0,0.7875,0.019607844," ""[Point(1", 0), Point(1, 1), Point(0, 2), Point(0," 1)]""",5
19986156,0.27293396,5.2768097,8.53772,0.27293396,5.2768097,8.53772,0.27293396,5.2768097,8.53772,0.27293396,5.2768097,8.53772,0.27293396,5.2768097,8.53772,0.27293396,5.2768097,8.53772,734,179,0,0,0.7875,0.019607844," ""[Point(1", 0), Point(1, 1), Point(0, 2), Point(0," 1)]""",5
19986267,0.51234436,5.1762543,8.973465,0.51234436,5.1762543,8.973465,0.51234436,5.1762543,8.973465,0.51234436,5.1762543,8.973465,0.51234436,5.1762543,8.973465,0.51234436,5.1762543,8.973465,718.46643,583.7362,-510.53336,5491.9824,0.7875,0.019607844," ""[Point(1", 0), Point(1, 1), Point(0, 2), Point(0," 1)]""",5
19986468,0.3830719,5.3630066,8.36055,0.3830719,5.3630066,8.36055,0.3830719,5.3630066,8.36055,0.3830719,5.3630066,8.36055,0.3830719,5.3630066,8.36055,0.3830719,5.3630066,8.36055,365.1786,1085.2484,-3062.0625,3088.4946,0.7875,0.023529414," ""[Point(1", 0), Point(1, 1), Point(0, 2), Point(0," 1)]""",5
19986635,0.21546936,5.1618958,8.983032,0.21546936,5.1618958,8.983032,0.21546936,5.1618958,8.983032,0.21546936,5.1618958,8.983032,0.21546936,5.1618958,8.983032,0.21546936,5.1618958,8.983032,269,828.77893,-134.19852,-2767.6226,0.7875,0.019607844," ""[Point(1", 0), Point(1, 1), Point(0, 2), Point(0," 1)]""",5
