TimeStamp, TYPE_ACC0, TYPE_ACC1, TYPE_ACC2, TYPE_MAG0, TYPE_MAG1, TYPE_MAG2, TYPE_GYRO0, TYPE_GYRO1, TYPE_GYRO2, TYPE_ROTATION0, TYPE_ROTATION1, TYPE_ROTATION2, TYPE_LINEAR0, TYPE_LINEAR1, TYPE_LINEAR2, TYPE_GRAVITY0, TYPE_GRAVITY1, TYPE_GRAVITY2, position_x, position_y, velocity_x, velocity_y, pressure, size, mCurrentPattern, Counter,,,,,,,,,
19450403,-0.5817871,3.61763,8.829803,-0.5817871,3.61763,8.829803,-0.5817871,3.61763,8.829803,-0.5817871,3.61763,8.829803,-0.5817871,3.61763,8.829803,-0.5817871,3.61763,8.829803,821.1956,655.6315,-5718.5986,6317.8667,0.8875,0.023529414," ""[Point(0", 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0," 2)]""",41
19450520,-0.46206665,3.885788,9.035706,-0.46206665,3.885788,9.035706,-0.46206665,3.885788,9.035706,-0.46206665,3.885788,9.035706,-0.46206665,3.885788,9.035706,-0.46206665,3.885788,9.035706,376.71646,1144.1024,-1765.757,1890.0065,0.8875,0.027450982," ""[Point(0", 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0," 2)]""",41
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19450595,-0.6871338,3.799591,9.212875,-0.6871338,3.799591,9.212875,-0.6871338,3.799591,9.212875,-0.6871338,3.799591,9.212875,-0.6871338,3.799591,9.212875,-0.6871338,3.799591,9.212875,314.5,1217.5,0,0,0.575,0.015686275," ""[Point(0", 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0," 2)]""",42
19450799,-0.7781067,4.029434,9.217667,-0.7781067,4.029434,9.217667,-0.7781067,4.029434,9.217667,-0.7781067,4.029434,9.217667,-0.7781067,4.029434,9.217667,-0.7781067,4.029434,9.217667,365,311,0,0,0.58750004,0.019607844," ""[Point(0", 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0," 2)]""",42
19450799,-0.7781067,4.029434,9.217667,-0.7781067,4.029434,9.217667,-0.7781067,4.029434,9.217667,-0.7781067,4.029434,9.217667,-0.7781067,4.029434,9.217667,-0.7781067,4.029434,9.217667,365,311,0,0,0.58750004,0.019607844," ""[Point(0", 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0," 2)]""",42
19450953,-0.6009369,3.7852325,9.351746,-0.6009369,3.7852325,9.351746,-0.027679443,0.07562256,-0.001068115,-0.027679443,0.07562256,-0.001068115,-0.027679443,0.07562256,-0.001068115,-0.027679443,0.07562256,-0.001068115,572.4188,217.30835,6732.441,-1090.0569,0.85,0.027450982," ""[Point(0", 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0," 2)]""",42
19451037,-0.66796875,3.8187408,9.002197,-0.66796875,3.8187408,9.002197,-0.66796875,3.8187408,9.002197,0.1669159,0.10610962,0.36102295,0.1669159,0.10610962,0.36102295,0.1669159,0.10610962,0.36102295,1045.9202,184.39331,4170.0913,-246.69885,0.85,0.023529414," ""[Point(0", 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0," 2)]""",42
19451271,-0.58657837,3.6224213,8.791504,-0.58657837,3.6224213,8.791504,-0.58657837,3.6224213,8.791504,-0.58657837,3.6224213,8.791504,-0.58657837,3.6224213,8.791504,-0.58657837,3.6224213,8.791504,840.56055,646.2468,-5488.338,5375.2144,0.85,0.023529414," ""[Point(0", 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0," 2)]""",42
19451371,-0.5530548,3.8187408,9.030914,-0.5530548,3.8187408,9.030914,-0.5530548,3.8187408,9.030914,-0.5530548,3.8187408,9.030914,-0.5530548,3.8187408,9.030914,-0.5530548,3.8187408,9.030914,378.42374,1135.3129,-3040.401,3251.0999,0.85,0.023529414," ""[Point(0", 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0," 2)]""",42
