TimeStamp, TYPE_ACC0, TYPE_ACC1, TYPE_ACC2, TYPE_MAG0, TYPE_MAG1, TYPE_MAG2, TYPE_GYRO0, TYPE_GYRO1, TYPE_GYRO2, TYPE_ROTATION0, TYPE_ROTATION1, TYPE_ROTATION2, TYPE_LINEAR0, TYPE_LINEAR1, TYPE_LINEAR2, TYPE_GRAVITY0, TYPE_GRAVITY1, TYPE_GRAVITY2, position_x, position_y, velocity_x, velocity_y, pressure, size, mCurrentPattern, Counter,Name,Pattern
19737016,-0.59854126,6.500244,7.764389,-0.59854126,6.500244,7.764389,-0.59854126,6.500244,7.764389,-0.59854126,6.500244,7.764389,-0.59854126,6.500244,7.764389,-0.59854126,6.500244,7.764389,315,670,0,0,0.375,0.015686275,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",3,James,C
19737016,-0.59854126,6.500244,7.764389,-0.59854126,6.500244,7.764389,-0.59854126,6.500244,7.764389,-0.59854126,6.500244,7.764389,-0.59854126,6.500244,7.764389,-0.59854126,6.500244,7.764389,315,670,0,0,0.375,0.015686275,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",3,James,C
19737134,-0.6081238,6.198578,7.5297546,-0.6081238,6.198578,7.5297546,-0.6081238,6.198578,7.5297546,0.24595642,0.23928833,0.59085083,0.24595642,0.23928833,0.59085083,0.24595642,0.23928833,0.59085083,650.9093,676,7238.6724,0.033367738,0.8125,0.023529414,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",3,James,C
19737184,-0.23461914,6.1650543,8.334213,-0.23461914,6.1650543,8.334213,-0.23461914,6.1650543,8.334213,-0.23461914,6.1650543,8.334213,-0.23461914,6.1650543,8.334213,-0.23461914,6.1650543,8.334213,1057.089,699.2975,7897.4463,636.4907,0.5375,0.007843138,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",3,James,C
19737318,-0.9768219,6.0022583,7.1227417,-0.9768219,6.0022583,7.1227417,-0.9768219,6.0022583,7.1227417,0.23472595,0.2468872,0.59854126,0.23472595,0.2468872,0.59854126,0.23472595,0.2468872,0.59854126,1258.5251,391.7818,-2405.3867,-4306.151,0.5375,0.023529414,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",3,James,C
19737418,-0.75177,5.796356,8.018173,28.186035,-11.90033,-22.763062,28.186035,-11.90033,-22.763062,28.186035,-11.90033,-22.763062,28.186035,-11.90033,-22.763062,28.186035,-11.90033,-22.763062,802.9312,155.73047,-6240.4766,-328.1969,0.83750004,0.027450982,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",3,James,C
19737501,-0.62727356,6.3470154,8.075638,-0.62727356,6.3470154,8.075638,-0.62727356,6.3470154,8.075638,0.23023987,0.24742126,0.5930176,0.23023987,0.24742126,0.5930176,0.23023987,0.24742126,0.5930176,347.07162,187.51782,-4589.284,637.5253,0.83750004,0.023529414,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",3,James,C
19737570,-0.8475342,6.4858856,8.30069,-0.8475342,6.4858856,8.30069,0.64234924,-0.12249756,-0.10760498,0.64234924,-0.12249756,-0.10760498,0.64234924,-0.12249756,-0.10760498,0.64234924,-0.12249756,-0.10760498,221,221,0,0,0.425,0.011764707,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",4,James,C
19737829,-0.6895294,6.3661804,7.4531403,25.053406,-13.987732,-20.42389,25.053406,-13.987732,-20.42389,25.053406,-13.987732,-20.42389,0.008972168,-0.2214508,0.22235107,0.008972168,-0.2214508,0.22235107,358,676,0,0,0.3375,0.007843138,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",4,James,C
19737829,-0.6895294,6.3661804,7.4531403,25.053406,-13.987732,-20.42389,25.053406,-13.987732,-20.42389,25.053406,-13.987732,-20.42389,0.008972168,-0.2214508,0.22235107,0.008972168,-0.2214508,0.22235107,358,676,0,0,0.3375,0.007843138,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",4,James,C
19737935,-0.86190796,6.6199646,7.563278,-0.86190796,6.6199646,7.563278,-0.86190796,6.6199646,7.563278,-0.86190796,6.6199646,7.563278,-0.86190796,6.6199646,7.563278,-0.86190796,6.6199646,7.563278,563.0527,665.4707,6670.65,1243.2941,0.8,0.023529414,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",4,James,C
19738002,-0.3830719,6.500244,7.860153,-0.3830719,6.500244,7.860153,-0.3830719,6.500244,7.860153,-0.3830719,6.500244,7.860153,0.31723022,0.13302612,0.43469238,0.31723022,0.13302612,0.43469238,1028.744,707.77405,6402.6665,-737.79584,0.5375,0.007843138,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",4,James,C
19738135,-1.0007629,6.251251,6.9838715,-1.0007629,6.251251,6.9838715,-1.0007629,6.251251,6.9838715,-1.0007629,6.251251,6.9838715,-1.0007629,6.251251,6.9838715,-1.0007629,6.251251,6.9838715,1243.4011,345.2138,-2020.6378,-3053.0125,0.5375,0.019607844,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",4,James,C
19738219,-0.93852234,6.203369,7.309494,-0.93852234,6.203369,7.309494,-0.93852234,6.203369,7.309494,-0.93852234,6.203369,7.309494,-0.12194824,-0.20155334,-0.07136536,-0.12194824,-0.20155334,-0.07136536,883.3596,167.59833,-5637.617,-234.7868,0.8125,0.027450982,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",4,James,C
