TimeStamp, TYPE_ACC0, TYPE_ACC1, TYPE_ACC2, TYPE_MAG0, TYPE_MAG1, TYPE_MAG2, TYPE_GYRO0, TYPE_GYRO1, TYPE_GYRO2, TYPE_ROTATION0, TYPE_ROTATION1, TYPE_ROTATION2, TYPE_LINEAR0, TYPE_LINEAR1, TYPE_LINEAR2, TYPE_GRAVITY0, TYPE_GRAVITY1, TYPE_GRAVITY2, position_x, position_y, velocity_x, velocity_y, pressure, size, mCurrentPattern, Counter,Name,Pattern, TYPE_ACC0_MEAN, TYPE_ACC1_MEAN, TYPE_ACC2_MEAN, TYPE_MAG0_MEAN, TYPE_MAG1_MEAN, TYPE_MAG2_MEAN, TYPE_GYRO0_MEAN, TYPE_GYRO1_MEAN, TYPE_GYRO2_MEAN, TYPE_ROTATION0_MEAN, TYPE_ROTATION1_MEAN, TYPE_ROTATION2_MEAN, TYPE_LINEAR0_MEAN, TYPE_LINEAR1_MEAN, TYPE_LINEAR2_MEAN, TYPE_GRAVITY0_MEAN, TYPE_GRAVITY1_MEAN, TYPE_GRAVITY2_MEAN, velocity_x_MEAN, velocity_y_MEAN, pressure_MEAN, size_MEAN, TYPE_ACC0_SD, TYPE_ACC1_SD, TYPE_ACC2_SD, TYPE_MAG0_SD, TYPE_MAG1_SD, TYPE_MAG2_SD, TYPE_GYRO0_SD, TYPE_GYRO1_SD, TYPE_GYRO2_SD, TYPE_ROTATION0_SD, TYPE_ROTATION1_SD, TYPE_ROTATION2_SD, TYPE_LINEAR0_SD, TYPE_LINEAR1_SD, TYPE_LINEAR2_SD, TYPE_GRAVITY0_SD, TYPE_GRAVITY1_SD, TYPE_GRAVITY2_SD, velocity_x_SD, velocity_y_SD, pressure_SD, size_SD
17217832,-2.6503754,7.0820465,6.72052,-2.6503754,7.0820465,6.72052,-2.6503754,7.0820465,6.72052,-2.6503754,7.0820465,6.72052,-0.36676025,0.39263916,-0.0769043,-0.36676025,0.39263916,-0.0769043,751,558.57605,0.038650032,4997.796,0.6875,0.015686275,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",3,Matt,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17217999,-2.2385712,6.2488556,6.9790955,-2.2385712,6.2488556,6.9790955,-2.2385712,6.2488556,6.9790955,-2.2385712,6.2488556,6.9790955,-2.2385712,6.2488556,6.9790955,-2.2385712,6.2488556,6.9790955,383.5633,1194.6869,-2845.0508,2200.8892,0.6875,0.023529414,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",3,Matt,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17218266,-2.8802185,6.7420654,7.065277,15.307617,-3.5461426,-12.07428,15.307617,-3.5461426,-12.07428,0.28440857,0.28837585,0.36697388,0.28440857,0.28837585,0.36697388,0.28440857,0.28837585,0.36697388,238,870.4094,-0.019223271,-3446.3,0.6875,0.015686275,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",3,Matt,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17218470,-2.621643,6.775589,6.6630554,-2.621643,6.775589,6.6630554,-2.621643,6.775589,6.6630554,0.2853546,0.2861786,0.3718109,0.2853546,0.2861786,0.3718109,0.2853546,0.2861786,0.3718109,242,638,0,0,0.6875,0.007843138,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",4,Matt,D,-2.56737265,6.6016031167,6.9663238667,-2.56737265,6.6016031167,6.9663238667,-2.56737265,6.6016031167,6.9663238667,-1.6311137167,4.51892082,4.73259483,-1.2233251267,3.41863753,3.59487408,-1.2233251267,3.41863753,3.59487408,-474.4626513573,539.9454666667,0.5833333333,0.0176470597,0.2723875378,0.261791337,0.282191394,0.2723875378,0.261791337,0.282191394,0.2723875378,0.261791337,0.282191394,1.4989322161,3.295962644,3.3710551172,1.438373812,3.4075853924,3.6050418317,1.438373812,3.4075853924,3.6050418317,857.5074926436,2232.1985734142,0.0510310363,0.0048029211
17218723,-2.712616,6.603195,6.87854,-2.712616,6.603195,6.87854,-2.712616,6.603195,6.87854,-2.712616,6.603195,6.87854,-2.712616,6.603195,6.87854,-2.712616,6.603195,6.87854,693,250,0,0,0.5625,0.019607844,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",4,Matt,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17218723,-2.712616,6.603195,6.87854,-2.712616,6.603195,6.87854,-2.712616,6.603195,6.87854,-2.712616,6.603195,6.87854,-2.712616,6.603195,6.87854,-2.712616,6.603195,6.87854,693,250,0,0,0.5625,0.019607844,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",4,Matt,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17218884,-2.07576,6.3781433,6.89769,-2.07576,6.3781433,6.89769,-2.07576,6.3781433,6.89769,-2.07576,6.3781433,6.89769,-2.07576,6.3781433,6.89769,-2.07576,6.3781433,6.89769,676.80005,594.1196,-725.21014,3412.5295,0.5625,0.019607844,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",4,Matt,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17219035,-2.4492645,6.2632294,7.5010223,-2.4492645,6.2632294,7.5010223,-2.4492645,6.2632294,7.5010223,0.2612915,0.25654602,0.38989258,0.2612915,0.25654602,0.38989258,0.2612915,0.25654602,0.38989258,373.4502,1114.1873,-2121.6396,2652.4128,0.5625,0.019607844,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",4,Matt,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17219302,-2.8323364,6.986267,6.9790955,-2.8323364,6.986267,6.9790955,-2.8323364,6.986267,6.9790955,-2.8323364,6.986267,6.9790955,-0.38560486,0.38456726,0.152771,-0.38560486,0.38456726,0.152771,207,869.11304,0.073831856,-2825.2695,0.5625,0.019607844,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",4,Matt,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17219536,-2.329544,6.545746,7.079651,14.089966,-3.7200928,-11.5737915,14.089966,-3.7200928,-11.5737915,14.089966,-3.7200928,-11.5737915,14.089966,-3.7200928,-11.5737915,14.089966,-3.7200928,-11.5737915,226,644.5,0,0,0.5625,0.019607844,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",5,Matt,D,-2.4827804333,6.7668076,6.8334452667,0.2538045667,5.0558344667,3.7245381833,0.2538045667,5.0558344667,3.7245381833,0.2538045667,5.0558344667,3.7245381833,0.2538045667,5.0558344667,3.7245381833,0.2538045667,5.0558344667,3.7245381833,-499.5039166667,443.1816666667,0.5833333667,0.0163398698,0.2873567726,0.3331494755,0.3456085979,6.7839800669,4.3108370476,7.5016152277,6.7839800669,4.3108370476,7.5016152277,6.7839800669,4.3108370476,7.5016152277,6.7839800669,4.3108370476,7.5016152277,6.7839800669,4.3108370476,7.5016152277,912.390540413,2438.0146352091,0.0102062236,0.0016009738
