@relation mattPattern3-weka.filters.unsupervised.attribute.Remove-R1

@attribute ' TYPE_ACC0' numeric
@attribute ' TYPE_ACC1' numeric
@attribute ' TYPE_ACC2' numeric
@attribute ' TYPE_MAG0' numeric
@attribute ' TYPE_MAG1' numeric
@attribute ' TYPE_MAG2' numeric
@attribute ' TYPE_GYRO0' numeric
@attribute ' TYPE_GYRO1' numeric
@attribute ' TYPE_GYRO2' numeric
@attribute ' TYPE_ROTATION0' numeric
@attribute ' TYPE_ROTATION1' numeric
@attribute ' TYPE_ROTATION2' numeric
@attribute ' TYPE_LINEAR0' numeric
@attribute ' TYPE_LINEAR1' numeric
@attribute ' TYPE_LINEAR2' numeric
@attribute ' TYPE_GRAVITY0' numeric
@attribute ' TYPE_GRAVITY1' numeric
@attribute ' TYPE_GRAVITY2' numeric
@attribute ' position_x' numeric
@attribute ' position_y' numeric
@attribute ' velocity_x' numeric
@attribute ' velocity_y' numeric
@attribute ' pressure' numeric
@attribute ' size' numeric
@attribute ' mCurrentPattern' {'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]'}
@attribute ' Counter' numeric
@attribute Name {Matt}
@attribute Pattern {C}

@data
-1.261734,6.938385,7.501022,-1.261734,6.938385,7.501022,-1.261734,6.938385,7.501022,-1.261734,6.938385,7.501022,-1.261734,6.938385,7.501022,-1.261734,6.938385,7.501022,224,844,0,0,0.7,0.015686,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',3,Matt,C
-1.261734,6.938385,7.501022,-1.261734,6.938385,7.501022,-1.261734,6.938385,7.501022,-1.261734,6.938385,7.501022,-1.261734,6.938385,7.501022,-1.261734,6.938385,7.501022,224,844,0,0,0.7,0.015686,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',3,Matt,C
-1.438904,7.201752,7.266388,-1.438904,7.201752,7.266388,-1.438904,7.201752,7.266388,-1.438904,7.201752,7.266388,-1.438904,7.201752,7.266388,-1.438904,7.201752,7.266388,597.806,765.12915,4676.028,-648.4223,0.7,0.015686,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',3,Matt,C
-1.012741,6.842621,7.237671,8.172607,-5.11322,-12.242126,8.172607,-5.11322,-12.242126,8.172607,-5.11322,-12.242126,8.172607,-5.11322,-12.242126,8.172607,-5.11322,-12.242126,1051.2388,744.2976,1918.4066,-183.86647,0.7,0.015686,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',3,Matt,C
-1.352722,7.187393,6.40448,8.520508,-5.11322,-11.907959,8.520508,-5.11322,-11.907959,8.520508,-5.11322,-11.907959,-0.037109,0.158752,-0.306458,-0.037109,0.158752,-0.306458,1159.654,383.61597,-723.11206,-2690.7715,0.7,0.023529,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',3,Matt,C
-1.410172,7.053314,6.495468,8.520508,-5.809021,-11.907959,8.520508,-5.809021,-11.907959,8.520508,-5.809021,-11.907959,8.520508,-5.809021,-11.907959,8.520508,-5.809021,-11.907959,837.05115,240.12439,-6302.7036,393.8095,0.7,0.019608,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',3,Matt,C
-1.668747,7.316666,6.495468,-1.668747,7.316666,6.495468,-1.668747,7.316666,6.495468,-1.668747,7.316666,6.495468,-1.668747,7.316666,6.495468,-1.668747,7.316666,6.495468,396.6835,290.92407,-2060.9424,193.09314,0.7,0.023529,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',3,Matt,C
-1.391022,7.364563,6.284775,-1.391022,7.364563,6.284775,-1.391022,7.364563,6.284775,-1.391022,7.364563,6.284775,-1.391022,7.364563,6.284775,-1.391022,7.364563,6.284775,262,303.5,0,0,0.7,0.011765,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',4,Matt,C
-1.367081,7.048523,7.218506,-1.367081,7.048523,7.218506,-1.367081,7.048523,7.218506,-1.367081,7.048523,7.218506,-1.367081,7.048523,7.218506,-1.367081,7.048523,7.218506,261,751,0,0,0.3625,0.011765,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',4,Matt,C
-1.367081,7.048523,7.218506,-1.367081,7.048523,7.218506,-1.367081,7.048523,7.218506,-1.367081,7.048523,7.218506,-1.367081,7.048523,7.218506,-1.367081,7.048523,7.218506,261,751,0,0,0.3625,0.011765,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',4,Matt,C
