@relation mattTest

@attribute ' TYPE_ACC0' numeric
@attribute ' TYPE_ACC1' numeric
@attribute ' TYPE_ACC2' numeric
@attribute ' TYPE_MAG0' numeric
@attribute ' TYPE_MAG1' numeric
@attribute ' TYPE_MAG2' numeric
@attribute ' TYPE_GYRO0' numeric
@attribute ' TYPE_GYRO1' numeric
@attribute ' TYPE_GYRO2' numeric
@attribute ' TYPE_ROTATION0' numeric
@attribute ' TYPE_ROTATION1' numeric
@attribute ' TYPE_ROTATION2' numeric
@attribute ' TYPE_LINEAR0' numeric
@attribute ' TYPE_LINEAR1' numeric
@attribute ' TYPE_LINEAR2' numeric
@attribute ' TYPE_GRAVITY0' numeric
@attribute ' TYPE_GRAVITY1' numeric
@attribute ' TYPE_GRAVITY2' numeric
@attribute ' position_x' numeric
@attribute ' position_y' numeric
@attribute ' velocity_x' numeric
@attribute ' velocity_y' numeric
@attribute ' pressure' numeric
@attribute ' size' numeric
@attribute ' mCurrentPattern' {'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]'}
@attribute ' Counter' numeric
@attribute Name {Matt}
@attribute Pattern {A,B,C,D}

@data
-3.308777,7.235275,5.305542,-3.308777,7.235275,5.305542,-3.308777,7.235275,5.305542,-0.174545,0.430527,0.883606,-0.174545,0.430527,0.883606,-0.174545,0.430527,0.883606,264,681,0,0,0.4625,0.011765,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',39,Matt,A
-2.906555,6.981491,6.296738,-2.906555,6.981491,6.296738,-2.906555,6.981491,6.296738,-2.906555,6.981491,6.296738,-2.906555,6.981491,6.296738,-2.906555,6.981491,6.296738,584.4289,1116.0819,2722.338,2309.7646,0.6375,0.015686,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',39,Matt,A
-3.763672,6.914444,6.560104,-3.763672,6.914444,6.560104,-3.763672,6.914444,6.560104,-3.763672,6.914444,6.560104,-3.763672,6.914444,6.560104,-3.763672,6.914444,6.560104,1042.9603,764.96387,1148.6078,-2229.614,0.6375,0.015686,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',39,Matt,A
-4.055771,7.474686,5.425247,-4.055771,7.474686,5.425247,-4.055771,7.474686,5.425247,-4.055771,7.474686,5.425247,-4.055771,7.474686,5.425247,-4.055771,7.474686,5.425247,838.53937,311.47943,-2416.862,-2052.2507,0.9125,0.031373,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',39,Matt,A
-3.912125,7.283157,5.664673,-3.912125,7.283157,5.664673,-3.912125,7.283157,5.664673,-3.912125,7.283157,5.664673,-3.912125,7.283157,5.664673,-3.912125,7.283157,5.664673,660.82587,190.17413,0,0,0.425,0.015686,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',40,Matt,A
-3.778046,7.407654,5.41568,5.215454,-18.86139,2.954102,5.215454,-18.86139,2.954102,5.215454,-18.86139,2.954102,5.215454,-18.86139,2.954102,5.215454,-18.86139,2.954102,233,763,0,0,0.9875,0.027451,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',40,Matt,A
-3.778046,7.407654,5.41568,5.215454,-18.86139,2.954102,5.215454,-18.86139,2.954102,5.215454,-18.86139,2.954102,5.215454,-18.86139,2.954102,5.215454,-18.86139,2.954102,233,763,0,0,0.9875,0.027451,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',40,Matt,A
-2.47081,6.909653,5.702988,-2.47081,6.909653,5.702988,-2.47081,6.909653,5.702988,-2.47081,6.909653,5.702988,-2.47081,6.909653,5.702988,-2.47081,6.909653,5.702988,584.19904,1140.7838,1571.0562,1321.2899,0.7,0.015686,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',40,Matt,A
-3.107666,7.105988,6.047745,-3.107666,7.105988,6.047745,-3.107666,7.105988,6.047745,-0.161697,0.411179,0.894867,-0.161697,0.411179,0.894867,-0.161697,0.411179,0.894867,1041.6263,748.79285,1640.1018,-2415.1533,0.7,0.015686,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',40,Matt,A
-3.356659,7.15387,5.59285,-3.356659,7.15387,5.59285,-3.356659,7.15387,5.59285,-0.186996,0.43251,0.880035,-0.186996,0.43251,0.880035,-0.186996,0.43251,0.880035,845.0414,326.46405,-1761.8817,-1509.6677,0.9625,0.035294,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',40,Matt,A
-3.950424,6.981491,5.75087,7.128906,-19.38324,3.45459,7.128906,-19.38324,3.45459,7.128906,-19.38324,3.45459,7.128906,-19.38324,3.45459,7.128906,-19.38324,3.45459,663.2045,210.53033,0,0,0.425,0.011765,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',41,Matt,A
-3.811554,7.249634,5.81311,-3.811554,7.249634,5.81311,-3.811554,7.249634,5.81311,-3.811554,7.249634,5.81311,-3.811554,7.249634,5.81311,-3.811554,7.249634,5.81311,228,792,0,0,1.0625,0.027451,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',41,Matt,A
-3.811554,7.249634,5.81311,-3.811554,7.249634,5.81311,-3.811554,7.249634,5.81311,-3.811554,7.249634,5.81311,-3.811554,7.249634,5.81311,-3.811554,7.249634,5.81311,228,792,0,0,1.0625,0.027451,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',41,Matt,A
-2.887405,6.947968,6.373352,-2.887405,6.947968,6.373352,-2.887405,6.947968,6.373352,-2.887405,6.947968,6.373352,-2.887405,6.947968,6.373352,-2.887405,6.947968,6.373352,583.8293,1172.5433,2289.542,1603.9634,0.725,0.015686,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',41,Matt,A
-3.495529,7.244843,6.023804,1.385498,-18.86139,4.290772,1.385498,-18.86139,4.290772,1.385498,-18.86139,4.290772,1.385498,-18.86139,4.290772,1.385498,-18.86139,4.290772,1055.7207,799.8379,869.1315,-2607.4976,0.725,0.015686,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',41,Matt,A
-3.878601,7.010208,6.44519,6.607056,-18.86139,3.622437,6.607056,-18.86139,3.622437,6.607056,-18.86139,3.622437,6.607056,-18.86139,3.622437,6.607056,-18.86139,3.622437,827.9509,334.4591,-2256.9265,-1880.5872,0.725,0.027451,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',41,Matt,A
-4.036621,7.335831,5.085281,-4.036621,7.335831,5.085281,-4.036621,7.335831,5.085281,-4.036621,7.335831,5.085281,0.041595,0.036499,-0.038895,0.041595,0.036499,-0.038895,629,218,0,0,0.425,0.007843,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',42,Matt,A
-3.548203,7.283157,5.789169,4.344177,-19.03534,3.788757,0.036224,-0.036224,0.009567,-0.16687,0.431549,0.883469,-0.16687,0.431549,0.883469,-0.16687,0.431549,0.883469,252,783,0,0,0.875,0.027451,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',42,Matt,A
-3.548203,7.283157,5.789169,4.344177,-19.03534,3.788757,0.036224,-0.036224,0.009567,-0.16687,0.431549,0.883469,-0.16687,0.431549,0.883469,-0.16687,0.431549,0.883469,252,783,0,0,0.875,0.027451,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',42,Matt,A
-3.031052,7.034164,6.44519,2.256775,-19.38324,4.122925,2.256775,-19.38324,4.122925,2.256775,-19.38324,4.122925,2.256775,-19.38324,4.122925,2.256775,-19.38324,4.122925,570.4704,1144.6576,2651.3384,2144.5964,0.55,0.011765,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',42,Matt,A
-2.710236,6.971909,5.865784,-2.710236,6.971909,5.865784,-2.710236,6.971909,5.865784,-2.710236,6.971909,5.865784,-2.710236,6.971909,5.865784,-2.710236,6.971909,5.865784,1048.8137,816.91504,1883.3041,-2509.396,0.55,0.011765,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',42,Matt,A
-3.801987,7.235275,5.152313,-3.801987,7.235275,5.152313,-3.801987,7.235275,5.152313,-3.801987,7.235275,5.152313,-3.801987,7.235275,5.152313,-3.801987,7.235275,5.152313,852.1737,355.9004,-1771.9067,-1898.0468,0.8125,0.023529,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',42,Matt,A
-4.266464,7.364563,5.473145,7.998657,-19.20929,2.285767,7.998657,-19.20929,2.285767,7.998657,-19.20929,2.285767,7.998657,-19.20929,2.285767,7.998657,-19.20929,2.285767,622,199,0,0,0.325,0.007843,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',43,Matt,A
-3.347092,7.493851,4.955994,-3.347092,7.493851,4.955994,-3.347092,7.493851,4.955994,-3.347092,7.493851,4.955994,-3.347092,7.493851,4.955994,-3.347092,7.493851,4.955994,250,801,0,0,0.7625,0.019608,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',43,Matt,A
-3.347092,7.493851,4.955994,-3.347092,7.493851,4.955994,-3.347092,7.493851,4.955994,-3.347092,7.493851,4.955994,-3.347092,7.493851,4.955994,-3.347092,7.493851,4.955994,250,801,0,0,0.7625,0.019608,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',43,Matt,A
-2.839508,7.220902,6.224915,-2.839508,7.220902,6.224915,-2.839508,7.220902,6.224915,-2.839508,7.220902,6.224915,-2.839508,7.220902,6.224915,-2.839508,7.220902,6.224915,562.3654,1128.6176,2028.8815,1675.1732,0.7625,0.011765,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',43,Matt,A
-3.634384,7.340622,5.090073,-3.634384,7.340622,5.090073,-3.634384,7.340622,5.090073,-3.634384,7.340622,5.090073,-3.634384,7.340622,5.090073,-3.634384,7.340622,5.090073,1028.8213,765.2206,683.30316,-1476.7548,0.5,0.015686,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',43,Matt,A
-4.290405,7.5513,5.817902,5.737305,-18.338013,2.787781,5.737305,-18.338013,2.787781,5.737305,-18.338013,2.787781,-0.455048,0.076614,0.759552,-0.455048,0.076614,0.759552,820.9247,366.92468,-1780.975,-1713.5509,0.7625,0.031373,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',43,Matt,A
-4.496307,7.896072,3.902542,-4.496307,7.896072,3.902542,-4.496307,7.896072,3.902542,-4.496307,7.896072,3.902542,-4.496307,7.896072,3.902542,-4.496307,7.896072,3.902542,624.5084,230,0,0,0.3625,0.003922,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',44,Matt,A
-2.896973,7.5513,4.888947,-2.896973,7.5513,4.888947,-2.896973,7.5513,4.888947,-2.896973,7.5513,4.888947,-2.896973,7.5513,4.888947,-2.896973,7.5513,4.888947,267,700,0,0,0.5,0.011765,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',44,Matt,A
-2.896973,7.5513,4.888947,-2.896973,7.5513,4.888947,-2.896973,7.5513,4.888947,-2.896973,7.5513,4.888947,-2.896973,7.5513,4.888947,-2.896973,7.5513,4.888947,267,700,0,0,0.5,0.011765,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',44,Matt,A
-2.662338,7.541733,5.827484,-2.662338,7.541733,5.827484,-2.662338,7.541733,5.827484,-2.662338,7.541733,5.827484,-2.662338,7.541733,5.827484,-2.662338,7.541733,5.827484,572.6773,1130.152,1729.9661,1524.9255,0.675,0.011765,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',44,Matt,A
-2.719803,7.388504,5.209778,1.385498,-19.20929,2.954102,1.385498,-19.20929,2.954102,1.385498,-19.20929,2.954102,1.385498,-19.20929,2.954102,1.385498,-19.20929,2.954102,1078.0251,791.9446,0,0,0.675,0.019608,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',44,Matt,A
-4.754883,8.039719,4.405319,-4.754883,8.039719,4.405319,-4.754883,8.039719,4.405319,-4.754883,8.039719,4.405319,-0.794571,0.520279,-0.487808,-0.794571,0.520279,-0.487808,830.38354,329.73456,-2010.7372,-1884.9777,0.95,0.027451,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',44,Matt,A
-4.299973,7.747635,4.256882,-4.299973,7.747635,4.256882,-4.299973,7.747635,4.256882,-4.299973,7.747635,4.256882,-0.24884,0.273224,-0.630859,-0.24884,0.273224,-0.630859,668.1718,196,0,0,0.475,0.015686,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',45,Matt,A
-3.404541,7.445953,5.104431,-3.404541,7.445953,5.104431,-3.404541,7.445953,5.104431,-3.404541,7.445953,5.104431,-3.404541,7.445953,5.104431,-3.404541,7.445953,5.104431,266,796,0,0,1.0625,0.035294,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',45,Matt,A
-3.404541,7.445953,5.104431,-3.404541,7.445953,5.104431,-3.404541,7.445953,5.104431,-3.404541,7.445953,5.104431,-3.404541,7.445953,5.104431,-3.404541,7.445953,5.104431,266,796,0,0,1.0625,0.035294,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',45,Matt,A
