@relation mattPattern4-weka.filters.unsupervised.attribute.Remove-R1

@attribute ' TYPE_ACC0' numeric
@attribute ' TYPE_ACC1' numeric
@attribute ' TYPE_ACC2' numeric
@attribute ' TYPE_MAG0' numeric
@attribute ' TYPE_MAG1' numeric
@attribute ' TYPE_MAG2' numeric
@attribute ' TYPE_GYRO0' numeric
@attribute ' TYPE_GYRO1' numeric
@attribute ' TYPE_GYRO2' numeric
@attribute ' TYPE_ROTATION0' numeric
@attribute ' TYPE_ROTATION1' numeric
@attribute ' TYPE_ROTATION2' numeric
@attribute ' TYPE_LINEAR0' numeric
@attribute ' TYPE_LINEAR1' numeric
@attribute ' TYPE_LINEAR2' numeric
@attribute ' TYPE_GRAVITY0' numeric
@attribute ' TYPE_GRAVITY1' numeric
@attribute ' TYPE_GRAVITY2' numeric
@attribute ' position_x' numeric
@attribute ' position_y' numeric
@attribute ' velocity_x' numeric
@attribute ' velocity_y' numeric
@attribute ' pressure' numeric
@attribute ' size' numeric
@attribute ' mCurrentPattern' {'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]'}
@attribute ' Counter' numeric
@attribute Name {Matt}

@data
-1.601715,5.97113,7.489059,-1.601715,5.97113,7.489059,-1.601715,5.97113,7.489059,-1.601715,5.97113,7.489059,0.23761,-0.322464,0.196915,0.23761,-0.322464,0.196915,411.2383,1197.4734,-2639.9207,2912.9092,0.6875,0.015686,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',7,Matt
-2.540237,6.81868,7.058106,13.742065,-5.461121,-12.242126,13.742065,-5.461121,-12.242126,13.742065,-5.461121,-12.242126,13.742065,-5.461121,-12.242126,13.742065,-5.461121,-12.242126,224.84793,896.21655,352.13092,-2817.8423,0.6875,0.015686,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',7,Matt
-1.984787,6.689392,7.029373,-1.984787,6.689392,7.029373,-1.984787,6.689392,7.029373,-1.984787,6.689392,7.029373,-1.984787,6.689392,7.029373,-1.984787,6.689392,7.029373,257,601,0,0,0.25,0.003922,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',8,Matt
-2.296036,6.689392,6.651077,-2.296036,6.689392,6.651077,-2.296036,6.689392,6.651077,-2.296036,6.689392,6.651077,-0.157715,-0.052521,-0.141693,-0.157715,-0.052521,-0.141693,723,304,0,0,0.4375,0.007843,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',8,Matt
-2.296036,6.689392,6.651077,-2.296036,6.689392,6.651077,-2.296036,6.689392,6.651077,-2.296036,6.689392,6.651077,-0.157715,-0.052521,-0.141693,-0.157715,-0.052521,-0.141693,723,304,0,0,0.4375,0.007843,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',8,Matt
-2.319977,6.722916,6.569687,-2.319977,6.722916,6.569687,-2.319977,6.722916,6.569687,-2.319977,6.722916,6.569687,-2.319977,6.722916,6.569687,-2.319977,6.722916,6.569687,690.50885,576.9647,-1065.1741,4260.898,0.7375,0.019608,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',8,Matt
-1.812408,6.1483,7.364563,-1.812408,6.1483,7.364563,-1.812408,6.1483,7.364563,-1.812408,6.1483,7.364563,-1.812408,6.1483,7.364563,-1.812408,6.1483,7.364563,383.4388,1184.6553,-1863.3894,1272.793,0.7375,0.015686,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',8,Matt
-2.324768,6.698975,6.698975,-2.324768,6.698975,6.698975,-2.324768,6.698975,6.698975,-2.324768,6.698975,6.698975,-2.324768,6.698975,6.698975,-2.324768,6.698975,6.698975,250.10847,861.72205,203.36446,-2681.1675,0.7375,0.015686,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',8,Matt
-2.099701,6.708542,6.928818,-2.099701,6.708542,6.928818,-2.099701,6.708542,6.928818,-2.099701,6.708542,6.928818,-2.099701,6.708542,6.928818,-2.099701,6.708542,6.928818,260,622,0,0,0.475,0.007843,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',9,Matt
-2.377441,6.742065,6.727692,-2.377441,6.742065,6.727692,-2.377441,6.742065,6.727692,-2.377441,6.742065,6.727692,-2.377441,6.742065,6.727692,-2.377441,6.742065,6.727692,736,245,0,0,0.3625,0.007843,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',9,Matt
