@relation jamesPattern3-35

@attribute ' TYPE_ACC0' numeric
@attribute ' TYPE_ACC1' numeric
@attribute ' TYPE_ACC2' numeric
@attribute ' TYPE_MAG0' numeric
@attribute ' TYPE_MAG1' numeric
@attribute ' TYPE_MAG2' numeric
@attribute ' TYPE_GYRO0' numeric
@attribute ' TYPE_GYRO1' numeric
@attribute ' TYPE_GYRO2' numeric
@attribute ' TYPE_ROTATION0' numeric
@attribute ' TYPE_ROTATION1' numeric
@attribute ' TYPE_ROTATION2' numeric
@attribute ' TYPE_LINEAR0' numeric
@attribute ' TYPE_LINEAR1' numeric
@attribute ' TYPE_LINEAR2' numeric
@attribute ' TYPE_GRAVITY0' numeric
@attribute ' TYPE_GRAVITY1' numeric
@attribute ' TYPE_GRAVITY2' numeric
@attribute ' position_x' numeric
@attribute ' position_y' numeric
@attribute ' velocity_x' numeric
@attribute ' velocity_y' numeric
@attribute ' pressure' numeric
@attribute ' size' numeric
@attribute ' mCurrentPattern' {'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]'}
@attribute ' Counter' numeric

@data
-0.598541,6.500244,7.764389,-0.598541,6.500244,7.764389,-0.598541,6.500244,7.764389,-0.598541,6.500244,7.764389,-0.598541,6.500244,7.764389,-0.598541,6.500244,7.764389,315,670,0,0,0.375,0.015686,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',3
-0.598541,6.500244,7.764389,-0.598541,6.500244,7.764389,-0.598541,6.500244,7.764389,-0.598541,6.500244,7.764389,-0.598541,6.500244,7.764389,-0.598541,6.500244,7.764389,315,670,0,0,0.375,0.015686,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',3
-0.608124,6.198578,7.529755,-0.608124,6.198578,7.529755,-0.608124,6.198578,7.529755,0.245956,0.239288,0.590851,0.245956,0.239288,0.590851,0.245956,0.239288,0.590851,650.9093,676,7238.6724,0.033368,0.8125,0.023529,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',3
-0.234619,6.165054,8.334213,-0.234619,6.165054,8.334213,-0.234619,6.165054,8.334213,-0.234619,6.165054,8.334213,-0.234619,6.165054,8.334213,-0.234619,6.165054,8.334213,1057.089,699.2975,7897.4463,636.4907,0.5375,0.007843,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',3
-0.976822,6.002258,7.122742,-0.976822,6.002258,7.122742,-0.976822,6.002258,7.122742,0.234726,0.246887,0.598541,0.234726,0.246887,0.598541,0.234726,0.246887,0.598541,1258.5251,391.7818,-2405.3867,-4306.151,0.5375,0.023529,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',3
-0.75177,5.796356,8.018173,28.186035,-11.90033,-22.763062,28.186035,-11.90033,-22.763062,28.186035,-11.90033,-22.763062,28.186035,-11.90033,-22.763062,28.186035,-11.90033,-22.763062,802.9312,155.73047,-6240.4766,-328.1969,0.8375,0.027451,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',3
-0.627274,6.347015,8.075638,-0.627274,6.347015,8.075638,-0.627274,6.347015,8.075638,0.23024,0.247421,0.593018,0.23024,0.247421,0.593018,0.23024,0.247421,0.593018,347.07162,187.51782,-4589.284,637.5253,0.8375,0.023529,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',3
-0.847534,6.485886,8.30069,-0.847534,6.485886,8.30069,0.642349,-0.122498,-0.107605,0.642349,-0.122498,-0.107605,0.642349,-0.122498,-0.107605,0.642349,-0.122498,-0.107605,221,221,0,0,0.425,0.011765,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',4
-0.689529,6.36618,7.45314,25.053406,-13.987732,-20.42389,25.053406,-13.987732,-20.42389,25.053406,-13.987732,-20.42389,0.008972,-0.221451,0.222351,0.008972,-0.221451,0.222351,358,676,0,0,0.3375,0.007843,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',4
-0.689529,6.36618,7.45314,25.053406,-13.987732,-20.42389,25.053406,-13.987732,-20.42389,25.053406,-13.987732,-20.42389,0.008972,-0.221451,0.222351,0.008972,-0.221451,0.222351,358,676,0,0,0.3375,0.007843,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',4
-0.861908,6.619965,7.563278,-0.861908,6.619965,7.563278,-0.861908,6.619965,7.563278,-0.861908,6.619965,7.563278,-0.861908,6.619965,7.563278,-0.861908,6.619965,7.563278,563.0527,665.4707,6670.65,1243.2941,0.8,0.023529,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',4
-0.383072,6.500244,7.860153,-0.383072,6.500244,7.860153,-0.383072,6.500244,7.860153,-0.383072,6.500244,7.860153,0.31723,0.133026,0.434692,0.31723,0.133026,0.434692,1028.744,707.77405,6402.6665,-737.79584,0.5375,0.007843,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',4
-1.000763,6.251251,6.983872,-1.000763,6.251251,6.983872,-1.000763,6.251251,6.983872,-1.000763,6.251251,6.983872,-1.000763,6.251251,6.983872,-1.000763,6.251251,6.983872,1243.4011,345.2138,-2020.6378,-3053.0125,0.5375,0.019608,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',4
