@relation jamesPattern3-weka.filters.unsupervised.attribute.Remove-R1

@attribute ' TYPE_ACC0' numeric
@attribute ' TYPE_ACC1' numeric
@attribute ' TYPE_ACC2' numeric
@attribute ' TYPE_MAG0' numeric
@attribute ' TYPE_MAG1' numeric
@attribute ' TYPE_MAG2' numeric
@attribute ' TYPE_GYRO0' numeric
@attribute ' TYPE_GYRO1' numeric
@attribute ' TYPE_GYRO2' numeric
@attribute ' TYPE_ROTATION0' numeric
@attribute ' TYPE_ROTATION1' numeric
@attribute ' TYPE_ROTATION2' numeric
@attribute ' TYPE_LINEAR0' numeric
@attribute ' TYPE_LINEAR1' numeric
@attribute ' TYPE_LINEAR2' numeric
@attribute ' TYPE_GRAVITY0' numeric
@attribute ' TYPE_GRAVITY1' numeric
@attribute ' TYPE_GRAVITY2' numeric
@attribute ' position_x' numeric
@attribute ' position_y' numeric
@attribute ' velocity_x' numeric
@attribute ' velocity_y' numeric
@attribute ' pressure' numeric
@attribute ' size' numeric
@attribute ' mCurrentPattern' {'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]'}
@attribute ' Counter' numeric
@attribute Name {Matt, James}

@data
-0.9888,7.096405,7.026978,-0.9888,7.096405,7.026978,-0.9888,7.096405,7.026978,-0.9888,7.096405,7.026978,-0.9888,7.096405,7.026978,-0.9888,7.096405,7.026978,176.55078,292,0,0,0.6375,0.019608,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',38,Matt
-1.18512,6.981491,7.156265,-1.18512,6.981491,7.156265,-1.18512,6.981491,7.156265,-1.18512,6.981491,7.156265,-1.18512,6.981491,7.156265,-1.18512,6.981491,7.156265,258,754,0,0,0.5375,0.015686,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',38,Matt
-1.18512,6.981491,7.156265,-1.18512,6.981491,7.156265,-1.18512,6.981491,7.156265,-1.18512,6.981491,7.156265,-1.18512,6.981491,7.156265,-1.18512,6.981491,7.156265,258,754,0,0,0.5375,0.015686,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',38,Matt
-1.525101,7.144287,7.05571,4.692078,-4.76532,-11.907959,4.692078,-4.76532,-11.907959,4.692078,-4.76532,-11.907959,4.692078,-4.76532,-11.907959,4.692078,-4.76532,-11.907959,608.4103,737.70935,6449.8154,-250.98325,0.5375,0.015686,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',38,Matt
-0.897812,7.024582,7.548904,-0.897812,7.024582,7.548904,-0.897812,7.024582,7.548904,-0.897812,7.024582,7.548904,-0.897812,7.024582,7.548904,-0.897812,7.024582,7.548904,1038.8994,717.7914,2658.1829,-247.889,0.5375,0.019608,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',38,Matt
-1.247376,6.971909,6.859375,-1.247376,6.971909,6.859375,-1.247376,6.971909,6.859375,-1.247376,6.971909,6.859375,-1.247376,6.971909,6.859375,-1.247376,6.971909,6.859375,1181.2856,395.42822,-23.69787,-3537.2458,0.5375,0.015686,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',38,Matt
-0.557846,6.770798,6.993454,-0.557846,6.770798,6.993454,-0.557846,6.770798,6.993454,-0.557846,6.770798,6.993454,-0.557846,6.770798,6.993454,-0.557846,6.770798,6.993454,885.128,175.52832,-6233.961,885.8476,0.5375,0.019608,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',38,Matt
-0.974426,7.426804,6.054932,-0.974426,7.426804,6.054932,-0.974426,7.426804,6.054932,-0.974426,7.426804,6.054932,-0.974426,7.426804,6.054932,-0.974426,7.426804,6.054932,390.90686,192,-1572.2067,-0.077215,0.8,0.023529,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',38,Matt
-1.438904,7.316666,7.036545,-1.438904,7.316666,7.036545,0.215195,0.117172,-0.08522,0.215195,0.117172,-0.08522,0.215195,0.117172,-0.08522,0.215195,0.117172,-0.08522,255.5,185,0,0,0.8,0.015686,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',39,Matt
-1.271317,7.287949,6.801926,-1.271317,7.287949,6.801926,-1.271317,7.287949,6.801926,-1.271317,7.287949,6.801926,-1.271317,7.287949,6.801926,-1.271317,7.287949,6.801926,226,675,0,0,0.625,0.015686,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',39,Matt
-1.271317,7.287949,6.801926,-1.271317,7.287949,6.801926,-1.271317,7.287949,6.801926,-1.271317,7.287949,6.801926,-1.271317,7.287949,6.801926,-1.271317,7.287949,6.801926,226,675,0,0,0.625,0.015686,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',39,Matt
